[ 2026-06-18 16:19:06,624 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-18 16:19:22,101 ] 24 root - INFO - Fetched 22110 rows from MongoDB.
[ 2026-06-18 16:19:22,352 ] 45 root - INFO - Performed train test split on the dataframe
[ 2026-06-18 16:19:22,570 ] 50 root - INFO - Exported train and test file path.
[ 2026-06-18 16:19:22,572 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-18 16:19:22,603 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-18 16:19:22,726 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 16:19:22,726 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 16:19:22,727 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 16:19:22,727 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 16:19:23,152 ] 28 root - INFO - data Validation Completed
[ 2026-06-18 16:19:23,152 ] 31 root - INFO - data Transformation started
[ 2026-06-18 16:19:23,152 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-18 16:19:23,152 ] 65 root - INFO - Starting data transformation
[ 2026-06-18 16:19:23,234 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-18 16:19:23,234 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-18 16:19:23,311 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 16:19:23,317 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 16:19:23,317 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 16:19:23,321 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 16:19:23,324 ] 35 root - INFO - data Transformation completed
[ 2026-06-18 16:19:23,324 ] 37 root - INFO - Model Training stared
[ 2026-06-18 16:29:55,146 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 16:29:55,148 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 16:29:55,149 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 16:29:55,152 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 16:29:55,152 ] 138 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_18_2026_16_18_49\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911943319838057, precision_score=0.9891919191919192, recall_score=0.9932048681541582), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9857954545454546, precision_score=0.9818108326596605, recall_score=0.9898125509372453))
[ 2026-06-18 16:29:55,153 ] 42 root - INFO - Model Training artifact created
