[ 2026-06-18 12:32:14,218 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-18 12:32:35,345 ] 24 root - INFO - Fetched 22110 rows from MongoDB.
[ 2026-06-18 12:32:35,619 ] 45 root - INFO - Performed train test split on the dataframe
[ 2026-06-18 12:32:35,868 ] 50 root - INFO - Exported train and test file path.
[ 2026-06-18 12:32:35,871 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-18 12:32:35,882 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-18 12:32:36,117 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 12:32:36,118 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 12:32:36,118 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 12:32:36,119 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 12:32:36,506 ] 28 root - INFO - data Validation Completed
[ 2026-06-18 12:32:36,506 ] 31 root - INFO - data Transformation started
[ 2026-06-18 12:32:36,507 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-18 12:32:36,507 ] 65 root - INFO - Starting data transformation
[ 2026-06-18 12:32:36,594 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-18 12:32:36,594 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-18 12:32:36,711 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 12:32:36,718 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 12:32:36,719 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 12:32:36,724 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 12:32:36,728 ] 35 root - INFO - data Transformation completed
[ 2026-06-18 12:32:36,728 ] 37 root - INFO - Model Training stared
