[ 2026-06-18 15:20:51,634 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-18 15:21:10,459 ] 24 root - INFO - Fetched 22110 rows from MongoDB.
[ 2026-06-18 15:21:10,714 ] 45 root - INFO - Performed train test split on the dataframe
[ 2026-06-18 15:21:10,911 ] 50 root - INFO - Exported train and test file path.
[ 2026-06-18 15:21:10,914 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-18 15:21:10,926 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-18 15:21:11,111 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 15:21:11,111 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 15:21:11,112 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 15:21:11,112 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 15:21:11,493 ] 28 root - INFO - data Validation Completed
[ 2026-06-18 15:21:11,494 ] 31 root - INFO - data Transformation started
[ 2026-06-18 15:21:11,494 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-18 15:21:11,494 ] 65 root - INFO - Starting data transformation
[ 2026-06-18 15:21:11,576 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-18 15:21:11,576 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-18 15:21:11,659 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 15:21:11,666 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 15:21:11,667 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 15:21:11,672 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 15:21:11,675 ] 35 root - INFO - data Transformation completed
[ 2026-06-18 15:21:11,675 ] 37 root - INFO - Model Training stared
