[ 2026-06-18 15:02:01,084 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-18 15:02:15,574 ] 24 root - INFO - Fetched 22110 rows from MongoDB.
[ 2026-06-18 15:02:15,809 ] 45 root - INFO - Performed train test split on the dataframe
[ 2026-06-18 15:02:15,999 ] 50 root - INFO - Exported train and test file path.
[ 2026-06-18 15:02:16,000 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-18 15:02:16,009 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-18 15:02:16,154 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 15:02:16,155 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 15:02:16,157 ] 32 root - INFO - Required number of columns:2
[ 2026-06-18 15:02:16,157 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-18 15:02:16,546 ] 28 root - INFO - data Validation Completed
[ 2026-06-18 15:02:16,546 ] 31 root - INFO - data Transformation started
[ 2026-06-18 15:02:16,547 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-18 15:02:16,547 ] 65 root - INFO - Starting data transformation
[ 2026-06-18 15:02:16,633 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-18 15:02:16,634 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-18 15:02:16,716 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 15:02:16,723 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 15:02:16,723 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-18 15:02:16,728 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-18 15:02:16,732 ] 35 root - INFO - data Transformation completed
[ 2026-06-18 15:02:16,732 ] 37 root - INFO - Model Training stared
